key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
reservationShowMap,Reservation create flow,Zobrazit mapu,View map,,,,
reservationSlotHandoffTitle,Reservation create flow,Vyberte službu,Choose a service,,,,
reservationStartCta,Reservation create flow,Jdeme na to,Let's go,,,,
reservationStartStep1Desc,Reservation create flow,"""Zvolte salon, kam chcete jít.""",Pick the salon you want to visit.,,,,
reservationStartStep1Title,Reservation create flow,Vyberte pobočku,Choose a branch,,,,
reservationStartStep2Desc,Reservation create flow,,Pick the service you want and the specialist who will provide it.,,,,
reservationStartStep2Title,Reservation create flow,Vyberte službu a holiče,Choose a service and barber,,,,
reservationStartStep3Desc,Reservation create flow,Zobrazíme dostupné časy a potvrdíte rezervaci.,We'll show available slots and you'll confirm the booking.,,,,
reservationStartStep3Title,Reservation create flow,Vyberte termín,Choose a time,,,,
reservationStartTitle,Reservation create flow,Jednoduše vytvoříme rezervaci,We'll book you in easily,,,,
reservationStepBranchSubtitle,Reservation create flow,"""Vyberte pobočku, kde chcete rezervaci.""",Select the branch where you want to book.,,,,
reservationStepBranchTitle,Reservation create flow,Vyberte pobočku,Choose a branch,,,,
reservationStepDatetimeSubtitle,Reservation create flow,Vyberte den a následně dostupný termín.,"""Pick a day, then an available time slot.""",,,,
reservationStepDatetimeTitle,Reservation create flow,Vyberte datum a čas,Choose date and time,,,,
reservationStepEmployeeSubtitle,Reservation create flow,"""Vyberte holiče, ke kterému chcete vytvořit rezervaci.""",Select the barber you want to book with.,,,,
reservationStepEmployeeTitle,Reservation create flow,Vyberte holiče,Choose your barber,,,,
reservationStepServiceSubtitle,Reservation create flow,"""Vyberte službu, kterou chcete rezervovat.""",Select the service you want to book.,,,,
reservationStepServiceTitle,Reservation create flow,Vyberte službu,Choose a service,,,,
reservationSummaryAppointment,Reservation create flow,Váš termín,Your appointment,,,,
reservationSummaryBranch,Reservation create flow,Pobočka,Branch,,,,
reservationSummaryCreating,Reservation create flow,Vytvářím rezervaci…,Creating booking…,,,,
reservationSummaryEstimatedDuration,Reservation create flow,Odhadovaná délka,Estimated duration,,,,
reservationSummaryFrom,Reservation create flow,Od,From,,,,
reservationSummarySubtitle,Reservation create flow,Zkontrolujte údaje před potvrzením.,Review your details before confirming.,,,,
reservationSummaryTitle,Reservation create flow,Shrnutí objednávky,Order summary,,,,
reservationSummaryTo,Reservation create flow,Do,To,,,,
reservationSummaryWithSpecialist,Reservation create flow,U vašeho specialisty,With your barber,,,,
reservationToday,Reservation create flow,Dnes,Today,,,,
reservationTomorrow,Reservation create flow,Zítra,Tomorrow,,,,
reservationsCancelled,Reservations,Zrušené,Cancelled,,,,
reservationsPast,Reservations,Minulé,Past,,,,
reservationsTitle,Reservations,Rezervace,Reservations,,,,
reservationsUpcoming,Reservations,Nadcházející,Upcoming,,,,
reservationsViewBooking,Reservations,Zobrazit rezervaci,View booking,,,,
reviewAnonymous,Review,Anonymní recenze,Anonymous review,,,,
reviewAnonymousDesc,Review,Vaše jméno a profil se u této recenze nezobrazí.,Your name and profile will not be shown with this review.,,,,
reviewDelete,Review,Smazat recenzi,Delete review,,,,
reviewDeleteConfirmMessage,Review,Opravdu chcete smazat tuto recenzi?,Do you really want to delete this review?,,,,
reviewDeleteConfirmTitle,Review,Smazat recenzi,Delete review,,,,
reviewDeleting,Review,Mažu…,Deleting…,,,,
reviewReservationTitle,Review,Recenzujete rezervaci,Reviewing booking,,,,
reviewSubmit,Review,Odeslat recenzi,Submit Review,,,,
reviewUpdate,Review,Upravit recenzi,Update review,,,,
reviewWriteFallback,Review,Napsat recenzi,Write a Review,,,,
reviewWriteTo,Review,Napsat recenzi pro,Write review to,,,,
reviewWriteYourReview,Review,Napište svou recenzi,Write your review,,,,
scheduleAll,Experience,Vše,All,,,,
scheduleDate,Experience,Datum,Date,,,,
scheduleEmpty,Experience,Na tento den nemáme nikoho ve směně.,No barbers are scheduled for this day.,,,,
scheduleEmptyBranch,Experience,Na tento den není ve směně nikdo v této pobočce.,No barbers are scheduled at this branch on this day.,,,,
scheduleProfil,Experience,Profil,Profile,,,,
scheduleRezervovat,Experience,Rezervovat,Book,,,,
scheduleTermsWhen,Real Barber home screen,Termíny {when},Slots {when},,,,
scheduleTitle,Experience,Rozvrh,Schedule,,,,
searchBarbers,Search,Tým,Team,,,,
searchBarbersSubtitle,Search,Prohlédnout barbery a jejich profily,Browse barbers and their profiles,,,,
searchBranches,Search,Pobočky,Branches,,,,
searchBranchesSubtitle,Search,Prohlédnout pobočky,Browse branches,,,,
searchFavorites,Search,Oblíbené,Favorites,,,,
searchFavoritesSubtitle,Search,Uložené pobočky a barbeři,Saved branches and barbers,,,,
searchMyBookings,Search,Mé rezervace,My bookings,,,,
searchMyBookingsSubtitle,Search,Vaše rezervace a návštěvy,Your bookings and visits,,,,
searchPlaceholder,Search,Hledat,Search here,,,,
searchSchedule,Search,Rozvrh,Schedule,,,,
searchScheduleSubtitle,Search,Rezervovat termín,Book an appointment,,,,
searchServices,Search,Služby,Services,,,,
searchServicesSubtitle,Search,Služby a ceník,Services and pricing,,,,
serviceAbout,Service detail,O službě,About the service,,,,
serviceBookThisService,Service / Barber detail,Rezervovat službu,Book this service,,,,
serviceCategoryOther,Reservation create flow,Ostatní,Other,,,,
serviceChooseBranchBarber,Service / Barber detail,Vyberte pobočku a holiče,Choose branch and barber,,,,
serviceDetailNotFound,Service detail,Služba nebyla nalezena.,Service not found.,,,,
serviceReview,Service detail,Recenze,Review,,,,
serviceUpdateReview,Service detail,Upravit recenzi,Update review,,,,
serviceWriteReview,Service detail,Napsat recenzi,Write review,,,,
servicesBasic,Services,Základní,Basic,,,,
servicesColoring,Services,Barvení,Coloring,,,,
servicesExtraEpilaceBadge,Services,OSVOBUZUJÍCÍ,LIBERATING,,,,
servicesExtraEpilaceTitle,Services,Epilace horkým voskem,Hot wax epilation,,,,
servicesExtraHomeBadge,Services,NEJPOHODLNĚJŠÍ,MOST COMFORTABLE,,,,
servicesExtraHomeTitle,Services,Služby domů,Home services,,,,
servicesExtraVideoBadge,Services,NA PAMÁTKU,FOR POSTERITY,,,,
servicesExtraVideoTitle,Services,Video na míru,Custom video,,,,
servicesHaircuts,Services,Střihy,Haircuts,,,,
servicesHomeServices,Services,Služby u vás,Home services,,,,
servicesNoItems,Services,Žádné položky,No items,,,,
servicesPackages,Services,Balíčky,Packages,,,,
servicesPageHairAndBeard,Services,Vlasy a vousy,Hair and beard,,,,
servicesPageHaircutBook,Services,Kniha účesů,Haircut book,,,,
servicesPageHaircutInspiration,Services,Inspirace účesů,Haircut inspiration,,,,
servicesPageSubtitle,Services,Úpravy vlasů a vousů,Hair and beard grooming,,,,
servicesPageSupplementary,Services,Doplňkové služby,Additional services,,,,
servicesPageTitle,Services,Služby,Services,,,,
settingsAccent,Settings,Barevnost,Accent color,,,,
settingsAccentDesc,Settings,Barva zvýraznění v aplikaci,Highlight color used across the app,,,,
settingsChangePassword,Settings,Změnit heslo,Change password,,,,
settingsChangePasswordDesc,Settings,Změňte své heslo,Change your password,,,,
settingsCommunicationPrefs,Settings,Komunikační preference,Communication preferences,,,,
settingsCommunicationPrefsDesc,Settings,Kanály a typy zpráv od aplikace,Channels and message types from the app,,,,
settingsCurrency,Settings,Měna,Currency,,,,
settingsCurrencyDesc,Settings,USD - Americký dolar,USD - United states dollar,,,,
settingsDeleteAccount,Settings,Smazat účet,Delete account,,,,
settingsDeleteAccountCancel,Settings,Ponechat účet,Keep account,,,,
settingsDeleteAccountConfirm,Settings,Smazat natrvalo,Delete permanently,,,,
settingsDeleteAccountConfirmTitle,Settings,Smazat účet,Delete account,,,,
settingsDeleteAccountDeleting,Settings,Mazání účtu…,Deleting account…,,,,
settingsDeleteAccountDetailsAccessTitle,Settings,Okamžité zneplatnění přístupu,Immediate loss of access,,,,
settingsDeleteAccountDetailsAnonymizationTitle,Settings,Anonymizace osobních údajů,Anonymization of personal data,,,,
settingsDeleteAccountDetailsAuditTitle,Settings,Auditní stopa,Audit record,,,,
settingsDeleteAccountDetailsButton,Settings,Detailní vysvětlení smazání účtu,Detailed account deletion explanation,,,,
settingsDeleteAccountDetailsKeepTitle,Settings,Co se nemaže,What is not deleted,,,,
settingsDeleteAccountDetailsSubtitle,Settings,Co přesně se po potvrzení stane,What exactly happens after confirmation,,,,
settingsDeleteAccountDetailsTitle,Settings,Detailní vysvětlení smazání účtu,Detailed account deletion explanation,,,,
settingsDeleteAccountError,Settings,Smazání účtu se nezdařilo. Zkuste to znovu.,Account deletion failed. Please try again.,,,,
settingsDeleteAccountNeedLogin,Settings,Pro smazání účtu musíte být přihlášen/a.,You need to be signed in to delete your account.,,,,
settingsDeleteAccountReasonBranchService,Settings,,I am not satisfied with services at your branches.,,,,
settingsDeleteAccountReasonNoNeed,Settings,Aplikaci už nepotřebuji,I no longer need the app,,,,
settingsDeleteAccountReasonOther,Settings,Jiný důvod,Other reason,,,,
settingsDeleteAccountReasonPlaceholder,Settings,Volitelný důvod (pomůže nám se zlepšit),Optional reason (helps us improve),,,,
settingsDeleteAccountReasonPrivacy,Settings,Obavy o soukromí,Privacy concerns,,,,
settingsDeleteAccountSectionDesc,Settings,Nevratné smazání a anonymizace klientského účtu,Permanent deletion and anonymization of your client account,,,,
settingsHelp,Settings,Nápověda,Help,,,,
settingsHelpDesc,Settings,Kontaktovat podporu,Contact support,,,,
settingsNotifications,Settings,Oznámení,Notifications,,,,
settingsNotificationsDesc,Settings,"""Push notifikace, e-mailová oznámení""","""Push notifications, email notifications""",,,,
settingsPayments,Settings,Platby,Payments,,,,
settingsPaymentsDesc,Settings,Správa platebních metod,Manage payment methods,,,,
settingsSubtitle,Settings,Správa nastavení účtu,Manage your account settings,,,,
settingsSwitchToCzech,Settings,Přepnout do češtiny,Switch to Czech,,,,
settingsSwitchToEnglish,Settings,Přepnout do angličtiny,Switch to English,,,,
settingsTitle,Settings,Nastavení,Settings,,,,
sheetBranchFallback,Reservation create flow,Pobočka,Branch,,,,
sheetBranchInterior,Reservation create flow,Interiér pobočky,Branch interior,,,,
sheetBranchNoIntro,Reservation create flow,Tato pobočka zatím nemá krátké představení.,This branch has no short description yet.,,,,
sheetClose,Reservation create flow,Zavřít,Close,,,,
sheetHideDescription,Reservation create flow,Skrýt popis,Hide description,,,,
sheetHowToBranch,Reservation create flow,Kudy na pobočku?,How to get to the branch?,,,,
sheetNoBio,Reservation create flow,Bez popisu.,No description.,,,,
sheetPortfolio,Reservation create flow,Ukázka práce,Portfolio,,,,
sheetShowFullDescription,Reservation create flow,Zobrazit celý popis,Show full description,,,,
sheetSpecialistFallback,Reservation create flow,Specialista,Barber,,,,
sheetVideoLabel,Reservation create flow,Video,Video,,,,
signupAlreadyHave,Auth,Už máte účet? ,Already have an account? ,,,,
signupAvatarAddHint,Auth,Klepněte na + a vyberte fotku z galerie.,Tap + to add a photo from your gallery.,,,,
signupAvatarCarouselHint,Auth,"""Vyberte avatar posunem, nebo přidejte vlastní fotku.""","""Swipe to pick an avatar, or add your own photo.""",,,,
signupAvatarLoadError,Auth,Avatary se nepodařilo načíst.,Could not load avatars.,,,,
signupAvatarLoading,Auth,Načítám avatary…,Loading avatars…,,,,
signupAvatarRetry,Auth,Zkusit znovu,Try again,,,,
signupAvatarUrlInvalid,Auth,Zadejte platné http(s) URL nebo pole nechte prázdné.,Enter a valid http(s) URL or leave the field empty.,,,,
signupAvatarUrlLabel,Auth,URL obrázku (volitelně),Image URL (optional),,,,
signupConfirmPassword,Auth,Potvrdit heslo,Confirm password,,,,
signupConfirmRequired,Auth,Potvrďte heslo,Confirm your password,,,,
signupCreateAccount,Auth,Vyplňte své jméno a příjmení,Enter your first and last name,,,,
signupCreateAccountDesc,Auth,Ať vás v aplikaci můžeme správně oslovovat a připravit vše na míru.,So we can address you properly and personalize your experience.,,,,
signupCreateAccountOtpHint,Auth,Pro ověření jsme vám poslali SMS kód na zadané číslo.,"""To verify it's really you, we sent an SMS code to your number.""",,,,
signupEmail,Auth,E-mail,Email,,,,
signupEmailDomainHint,Auth,Klepnutím doplníte doménu,Tap to complete domain,,,,
signupEmailInvalid,Auth,Zadejte platný e-mail,Enter a valid email address,,,,
signupEmailOptional,Auth,E-mail (volitelně),Email (optional),,,,
signupEmailRequired,Auth,E-mail je povinný,Email is required,,,,
signupLogIn,Auth,Přihlásit se,Log in,,,,
signupPassword,Auth,Heslo,Password,,,,
signupPasswordMeterShort,Auth,Zadejte alespoň 4 znaky.,Enter at least 4 characters.,,,,
signupPasswordMinLength,Auth,Heslo musí mít alespoň 4 znaky,Password must be at least 4 characters,,,,
signupPasswordMismatch,Auth,Hesla se neshodují,Passwords do not match,,,,
signupPasswordRequired,Auth,Heslo je povinné,Password is required,,,,
signupPhoneInvalid,Auth,Zadejte platné telefonní číslo,Enter a valid phone number,,,,
signupPhoneLabel,Auth,Telefonní číslo,Phone number,,,,
signupPhoneRequired,Auth,Telefonní číslo je povinné,Phone number is required,,,,
signupRegisterFailed,Auth,Registrace se nezdařila. Zkuste to znovu.,Registration failed. Please try again.,,,,
signupStepAvatarSubtitle,Auth,Volitelně — můžete doplnit i později v profilu.,Optional — you can change it later in your profile.,,,,
signupStepAvatarTitle,Auth,Profilová fotka,Profile photo,,,,
signupStepBirthdaySubtitle,Auth,Tento údaj je nepovinný.,This field is optional.,,,,
signupStepBirthdayTitle,Auth,Datum narození,Date of birth,,,,
signupStepEmailSubtitle,Auth,Použijeme ho pro potvrzení a důležité zprávy.,We use it for confirmations and updates.,,,,
signupStepEmailTitle,Auth,E-mail,Email,,,,
signupStepNameSubtitle,Auth,Jak vás máme oslovovat?,How should we address you?,,,,
signupStepNameTitle,Auth,Jméno,Your name,,,,
signupStepPasswordSubtitle,Auth,Zvolte bezpečné heslo.,Choose a secure password.,,,,
signupStepPasswordTitle,Auth,Heslo,Password,,,,
signupStepPhoneSubtitle,Auth,Použijeme ho k přihlášení.,We use it to sign you in.,,,,
signupStepPhoneTitle,Auth,Telefonní číslo,Phone number,,,,
signupTitle,Auth,Registrace,Sign up,,,,
signupWelcomeJoinTeam,Auth,Vstoupit do Týmu Real Barber,Join the Real Barber Team,,,,
tabBarbers,Home tabs (horizontal scroll under home),Tým,Team,,,,
tabBranches,Home tabs (horizontal scroll under home),Pobočky,Branches,,,,
tabGuides,Home tabs (horizontal scroll under home),Návody,Guides,,,,
tabInspirace,Home tabs (horizontal scroll under home),Účesy,Inspiration,,,,
tabMyHaircuts,Home tabs (horizontal scroll under home),Můj styl,My style,,,,
tabRealBarber,Home tabs (horizontal scroll under home),Real Barber,Real Barber,,,,
tabServices,Home tabs (horizontal scroll under home),Služby,Services,,,,
tabWallet,Home tabs (horizontal scroll under home),Peněženka,Wallet,,,,
teamMemberCardNoShiftHint,Real Barber home screen,Aktuálně žádné volné termíny,No free slots at the moment,,,,
teamMemberCardViewProfile,Real Barber home screen,Zobrazit profil,View profile,,,,
teamPageEmpty,Real Barber home screen,Zatím nemáme žádné holiče.,No barbers yet.,,,,
teamPageLoadError,Real Barber home screen,Nepodařilo se načíst tým.,Could not load team.,,,,
teamPageLoading,Real Barber home screen,Načítám…,Loading…,,,,
teamPageTitle,Real Barber home screen,Tým,Team,,,,
topPicks,Common,Top výběr,Top picks,,,,
transferAvailable,Transfer,K dispozici,Available,,,,
transferChatAmountPlaceholder,Transfer,Částka (RBC),Amount (RBC),,,,
transferChatBalance,Transfer,Zůstatek,Balance,,,,
transferChatEnterValidAmount,Transfer,Zadejte platnou částku.,Enter a valid amount.,,,,
transferChatFailed,Transfer,Převod se nezdařil.,Transfer failed.,,,,
transferChatMenuBlockUser,Transfer,Blokovat uživatele,Block user,,,,
transferChatMenuReportUser,Transfer,Nahlásit uživatele,Report user,,,,
transferChatMenuViewProfile,Transfer,Zobrazit profil,View profile,,,,
transferChatNoTransactions,Transfer,S tímto příjemcem zatím nemáte žádné transakce,You have no transactions with this recipient yet,,,,
transferChatNotEnoughRbc,Transfer,Nemáte dostatek RBC.,You don't have enough RBC.,,,,
transferChatNoteOptional,Transfer,Poznámka (nepovinná),Note (optional),,,,
transferChatRemaining,Transfer,Zbývá,Remaining,,,,
transferChatSend,Transfer,Odeslat,Send,,,,
transferChatSending,Transfer,Odesílám…,Sending…,,,,
transferChatYesterday,Transfer,Včera,Yesterday,,,,
transferHelpClose,Transfer,Rozumím,Got it,,,,
transferHelpCta,Transfer,Nápověda,Help,,,,
transferHelpTitle,Transfer,Jak vyhledávání funguje,How search works,,,,
transferNewPayment,Transfer,Nová platba,New payment,,,,
transferRecipient,Transfer,Příjemce,Recipient,,,,
transferSearchPlaceholder,Transfer,Jméno kolegy nebo celé telefonní číslo příjemce,Colleague name or recipient’s full phone number,,,,
transferSearching,Transfer,Vyhledávám…,Searching…,,,,
transferTheySentYouRbc,Transfer,Odeslali vám,They sent you,,,,
transferYouSentRbc,Transfer,Odeslali jste,You sent,,,,
tripsAddReview,Trips card,Napsat recenzi,Add review,,,,
tripsDays,Trips / Bookings,dní,days,,,,
tripsFilterAll,Trips / Bookings,Vše,All,,,,
tripsFilterCancelled,Trips / Bookings,Zrušené,Cancelled,,,,
tripsFilterCurrent,Trips / Bookings,Aktuální,Current,,,,
tripsFilterPast,Trips / Bookings,Minulé,Past,,,,
tripsFilterPendingReview,Trips / Bookings,Čeká na recenzi,Pending review,,,,
tripsFilterRated,Trips / Bookings,Ohodnocené,Rated,,,,
tripsFilterUpcoming,Trips / Bookings,Nadcházející,Upcoming,,,,
tripsFilterWithoutCancelled,Trips / Bookings,Bez zrušených,Without cancelled,,,,
tripsHours,Trips / Bookings,h,h,,,,
tripsIn,Trips / Bookings,Za,In,,,,
tripsLoading,Trips / Bookings,Načítání…,Loading…,,,,
tripsMessage,Trips card,Zpráva,Message,,,,
tripsMinutes,Trips / Bookings,min,min,,,,
tripsNoBookings,Trips / Bookings,Zatím žádné rezervace.,No bookings yet.,,,,
tripsSeconds,Trips / Bookings,s,s,,,,
tripsTitle,Trips / Bookings,Vaše rezervace,Your Bookings,,,,
tripsViewBooking,Trips card,Zobrazit rezervaci,View booking,,,,
walletAddMoney,Wallet,Přidat peníze,Add money,,,,
walletDetailCashback,Wallet,Cashback,Cashback,,,,
walletDetailDateAndTime,Wallet,Datum a čas,Date and time,,,,
walletDetailLoyaltyReward,Wallet,Věrnostní odměna,Loyalty reward,,,,
walletDetailPayment,Wallet,Platba,Payment,,,,
walletDetailPaymentNote,Wallet,Poznámka k platbě,Payment note,,,,
walletDetailPerformedBy,Wallet,Provedl,Performed by,,,,
walletDetailReceived,Wallet,Přijato,Received,,,,
walletDetailRecipient,Wallet,Příjemce,Recipient,,,,
walletDetailSend,Wallet,Odeslat,Send,,,,
walletDetailSender,Wallet,Odesílatel,Sender,,,,
walletDetailSent,Wallet,Odesláno,Sent,,,,
walletDetailTransaction,Wallet,Transakce,Transaction,,,,
walletDetailTransactionId,Wallet,ID transakce,Transaction ID,,,,
walletDetailTransfer,Wallet,Převod,Transfer,,,,
walletDetailUpdated,Wallet,Aktualizováno,Updated,,,,
walletDetails,Wallet,Detail,Details,,,,
walletFlexiFondy,Wallet,FlexiFondy,FlexiFondy,,,,
walletFlexiFondySubtitle,Wallet,"""S variabilním úrokem v EUR, GBP nebo USD. Investiční riziko.""","""Variable interest in EUR, GBP or USD. Investment risk.""",,,,
walletHistoryCashback,Wallet,Cashback,Cashback,,,,
walletHistoryDayBefore,Wallet,Předevčírem,Day before yesterday,,,,
walletHistoryGiftCardCreated,Wallet,Dárková karta vytvořena,Gift card created,,,,
walletHistoryLoading,Wallet,Načítání…,Loading…,,,,
walletHistoryTitle,Wallet,Historie,History,,,,
walletHistoryToday,Wallet,Dnes,Today,,,,
walletHistoryYesterday,Wallet,Včera,Yesterday,,,,
walletMore,Wallet,Více,More,,,,
walletMoreButton,Wallet,Více,More,,,,
walletNoTransactions,Products (home),Žádné transakce,No transactions,,,,
walletPersonalRbcCaption,Wallet,Osobní · RBC,Personal · RBC,,,,
walletPromoSubtitle2,Wallet,Získejte cashback z každého nákupu v partnerských salonech.,Earn cashback on every purchase at partner salons.,,,,
walletPromoSubtitle3,Wallet,Darujte RBC kredity jako dárkovou kartu.,Give RBC credits as a gift card.,,,,
walletPromoTitle2,Wallet,RBC Cashback,RBC Cashback,,,,
walletPromoTitle3,Wallet,Dárkové karty RBC,RBC Gift Cards,,,,
walletShowAll,Wallet,Zobrazit vše,Show all,,,,
walletStats,Wallet,Statistika,Statistics,,,,
walletStatsEmpty,Wallet,Zatím nemáte žádné transakce.,No transactions yet.,,,,
walletStatsEmptyMonth,Wallet,V tomto měsíci žádné pohyby.,No activity this month.,,,,
walletStatsInMonth,Wallet,v {month},in {month},,,,
walletStatsLoading,Wallet,Načítání…,Loading…,,,,
walletStatsLoginRequired,Wallet,Přihlaste se pro zobrazení statistik.,Sign in to view statistics.,,,,
walletStatsMovesInMonth,Wallet,Pohyby {month},Activity {month},,,,
walletStatsReceived,Wallet,Přijato,Received,,,,
walletStatsRecentMoves,Wallet,Poslední pohyby,Recent activity,,,,
walletStatsSpentInMonth,Wallet,Utraceno v {month},Spent in {month},,,,
walletStatsSpentThisMonth,Wallet,Utraceno tento měsíc,Spent this month,,,,
walletStatsThisMonth,Wallet,tento měsíc,this month,,,,
walletTransactionVisitReservationBonus,Wallet,10% cashback z návštěvy,10% visit cashback,,,,
walletTransactions,Products (home),Transakce,Transactions,,,,
walletTransfer,Wallet,Převod,Transfer,,,,
warehouseDisplayCentral,Product detail,Centrální sklad,Central warehouse,,,,
welcomeContinueApple,Auth,Pokračovat přes Apple,Continue with Apple,,,,
welcomeContinueGoogle,Auth,Pokračovat přes Google,Continue with Google,,,,
welcomePasswordLoginBadge,Auth,Místo toho heslo,Use password instead,,,,
welcomeStart,Auth,Začít,Start,,,,
welcomeSubtitle,Auth,Jste připraveni?,Ready to get started?,,,,
